x,y,Trilepida.joshuai
-75.20720042,7.526461697,1
-75.54053375,7.443128364,1
-75.45720042,7.443128364,1
-75.20720042,7.443128364,1
-75.12386709,7.443128364,1
-75.87386708,7.359795031,1
-75.79053375,7.359795031,1
-75.70720042,7.359795031,1
-75.62386708,7.359795031,1
-75.54053375,7.359795031,1
-75.45720042,7.359795031,1
-75.29053375,7.359795031,1
-75.12386709,7.359795031,1
-76.29053375,7.276461698,1
-76.20720041,7.276461698,1
-76.12386708,7.276461698,1
-76.04053375,7.276461698,1
-75.87386708,7.276461698,1
-75.79053375,7.276461698,1
-75.70720042,7.276461698,1
-75.62386708,7.276461698,1
-75.54053375,7.276461698,1
-75.45720042,7.276461698,1
-75.37386708,7.276461698,1
-75.29053375,7.276461698,1
-75.20720042,7.276461698,1
-75.12386709,7.276461698,1
-75.04053375,7.276461698,1
-76.37386708,7.193128365,1
-76.29053375,7.193128365,1
-76.20720041,7.193128365,1
-76.12386708,7.193128365,1
-76.04053375,7.193128365,1
-75.95720042,7.193128365,1
-75.87386708,7.193128365,1
-75.79053375,7.193128365,1
-75.70720042,7.193128365,1
-75.62386708,7.193128365,1
-75.54053375,7.193128365,1
-75.45720042,7.193128365,1
-75.37386708,7.193128365,1
-75.29053375,7.193128365,1
-75.20720042,7.193128365,1
-75.12386709,7.193128365,1
-75.04053375,7.193128365,1
-74.95720042,7.193128365,1
-74.87386709,7.193128365,1
-76.54053375,7.109795032,1
-76.37386708,7.109795032,1
-76.29053375,7.109795032,1
-76.20720041,7.109795032,1
-76.12386708,7.109795032,1
-76.04053375,7.109795032,1
-75.95720042,7.109795032,1
-75.87386708,7.109795032,1
-75.79053375,7.109795032,1
-75.70720042,7.109795032,1
-75.62386708,7.109795032,1
-75.54053375,7.109795032,1
-75.45720042,7.109795032,1
-75.37386708,7.109795032,1
-75.29053375,7.109795032,1
-75.20720042,7.109795032,1
-75.12386709,7.109795032,1
-75.04053375,7.109795032,1
-74.95720042,7.109795032,1
-74.87386709,7.109795032,1
-74.79053375,7.109795032,1
-74.70720042,7.109795032,1
-76.54053375,7.026461699,1
-76.29053375,7.026461699,1
-76.20720041,7.026461699,1
-76.12386708,7.026461699,1
-76.04053375,7.026461699,1
-75.95720042,7.026461699,1
-75.87386708,7.026461699,1
-75.79053375,7.026461699,1
-75.70720042,7.026461699,1
-75.62386708,7.026461699,1
-75.54053375,7.026461699,1
-75.45720042,7.026461699,1
-75.37386708,7.026461699,1
-75.29053375,7.026461699,1
-75.20720042,7.026461699,1
-75.12386709,7.026461699,1
-75.04053375,7.026461699,1
-74.95720042,7.026461699,1
-74.87386709,7.026461699,1
-74.79053375,7.026461699,1
-74.70720042,7.026461699,1
-74.62386709,7.026461699,1
-76.54053375,6.943128366,1
-76.45720041,6.943128366,1
-76.37386708,6.943128366,1
-76.29053375,6.943128366,1
-76.20720041,6.943128366,1
-76.12386708,6.943128366,1
-76.04053375,6.943128366,1
-75.95720042,6.943128366,1
-75.87386708,6.943128366,1
-75.79053375,6.943128366,1
-75.70720042,6.943128366,1
-75.62386708,6.943128366,1
-75.54053375,6.943128366,1
-75.45720042,6.943128366,1
-75.37386708,6.943128366,1
-75.29053375,6.943128366,1
-75.20720042,6.943128366,1
-75.12386709,6.943128366,1
-75.04053375,6.943128366,1
-74.95720042,6.943128366,1
-74.87386709,6.943128366,1
-74.79053375,6.943128366,1
-74.70720042,6.943128366,1
-74.62386709,6.943128366,1
-76.62386708,6.859795033,1
-76.54053375,6.859795033,1
-76.45720041,6.859795033,1
-76.37386708,6.859795033,1
-76.29053375,6.859795033,1
-76.20720041,6.859795033,1
-76.12386708,6.859795033,1
-76.04053375,6.859795033,1
-75.95720042,6.859795033,1
-75.87386708,6.859795033,1
-75.79053375,6.859795033,1
-75.70720042,6.859795033,1
-75.62386708,6.859795033,1
-75.54053375,6.859795033,1
-75.45720042,6.859795033,1
-75.37386708,6.859795033,1
-75.29053375,6.859795033,1
-75.20720042,6.859795033,1
-75.12386709,6.859795033,1
-75.04053375,6.859795033,1
-74.95720042,6.859795033,1
-74.87386709,6.859795033,1
-74.79053375,6.859795033,1
-74.70720042,6.859795033,1
-74.62386709,6.859795033,1
-74.54053375,6.859795033,1
-76.54053375,6.7764617,1
-76.45720041,6.7764617,1
-76.37386708,6.7764617,1
-76.29053375,6.7764617,1
-76.20720041,6.7764617,1
-76.12386708,6.7764617,1
-76.04053375,6.7764617,1
-75.95720042,6.7764617,1
-75.87386708,6.7764617,1
-75.79053375,6.7764617,1
-75.70720042,6.7764617,1
-75.62386708,6.7764617,1
-75.54053375,6.7764617,1
-75.45720042,6.7764617,1
-75.37386708,6.7764617,1
-75.29053375,6.7764617,1
-75.20720042,6.7764617,1
-75.12386709,6.7764617,1
-75.04053375,6.7764617,1
-74.95720042,6.7764617,1
-74.87386709,6.7764617,1
-74.79053375,6.7764617,1
-74.70720042,6.7764617,1
-74.54053375,6.7764617,1
-76.62386708,6.693128367,1
-76.54053375,6.693128367,1
-76.45720041,6.693128367,1
-76.37386708,6.693128367,1
-76.29053375,6.693128367,1
-76.20720041,6.693128367,1
-76.12386708,6.693128367,1
-76.04053375,6.693128367,1
-75.95720042,6.693128367,1
-75.87386708,6.693128367,1
-75.79053375,6.693128367,1
-75.70720042,6.693128367,1
-75.62386708,6.693128367,1
-75.54053375,6.693128367,1
-75.45720042,6.693128367,1
-75.37386708,6.693128367,1
-75.29053375,6.693128367,1
-75.20720042,6.693128367,1
-75.12386709,6.693128367,1
-75.04053375,6.693128367,1
-74.95720042,6.693128367,1
-74.87386709,6.693128367,1
-74.79053375,6.693128367,1
-74.70720042,6.693128367,1
-76.54053375,6.609795034,1
-76.45720041,6.609795034,1
-76.37386708,6.609795034,1
-76.29053375,6.609795034,1
-76.20720041,6.609795034,1
-76.12386708,6.609795034,1
-76.04053375,6.609795034,1
-75.95720042,6.609795034,1
-75.87386708,6.609795034,1
-75.79053375,6.609795034,1
-75.70720042,6.609795034,1
-75.62386708,6.609795034,1
-75.54053375,6.609795034,1
-75.45720042,6.609795034,1
-75.37386708,6.609795034,1
-75.29053375,6.609795034,1
-75.20720042,6.609795034,1
-75.12386709,6.609795034,1
-75.04053375,6.609795034,1
-74.95720042,6.609795034,1
-74.87386709,6.609795034,1
-74.79053375,6.609795034,1
-74.70720042,6.609795034,1
-76.45720041,6.526461701,1
-76.37386708,6.526461701,1
-76.29053375,6.526461701,1
-76.20720041,6.526461701,1
-76.12386708,6.526461701,1
-76.04053375,6.526461701,1
-75.95720042,6.526461701,1
-75.87386708,6.526461701,1
-75.79053375,6.526461701,1
-75.70720042,6.526461701,1
-75.62386708,6.526461701,1
-75.54053375,6.526461701,1
-75.45720042,6.526461701,1
-75.37386708,6.526461701,1
-75.29053375,6.526461701,1
-75.20720042,6.526461701,1
-75.12386709,6.526461701,1
-75.04053375,6.526461701,1
-74.95720042,6.526461701,1
-74.87386709,6.526461701,1
-74.79053375,6.526461701,1
-74.70720042,6.526461701,1
-74.62386709,6.526461701,1
-76.62386708,6.443128368,1
-76.54053375,6.443128368,1
-76.45720041,6.443128368,1
-76.37386708,6.443128368,1
-76.29053375,6.443128368,1
-76.20720041,6.443128368,1
-76.12386708,6.443128368,1
-76.04053375,6.443128368,1
-75.95720042,6.443128368,1
-75.87386708,6.443128368,1
-75.79053375,6.443128368,1
-75.70720042,6.443128368,1
-75.62386708,6.443128368,1
-75.54053375,6.443128368,1
-75.45720042,6.443128368,1
-75.37386708,6.443128368,1
-75.29053375,6.443128368,1
-75.20720042,6.443128368,1
-75.12386709,6.443128368,1
-75.04053375,6.443128368,1
-74.95720042,6.443128368,1
-74.87386709,6.443128368,1
-74.79053375,6.443128368,1
-74.70720042,6.443128368,1
-76.62386708,6.359795035,1
-76.54053375,6.359795035,1
-76.45720041,6.359795035,1
-76.37386708,6.359795035,1
-76.29053375,6.359795035,1
-76.20720041,6.359795035,1
-76.12386708,6.359795035,1
-76.04053375,6.359795035,1
-75.95720042,6.359795035,1
-75.87386708,6.359795035,1
-75.79053375,6.359795035,1
-75.70720042,6.359795035,1
-75.62386708,6.359795035,1
-75.54053375,6.359795035,1
-75.45720042,6.359795035,1
-75.37386708,6.359795035,1
-75.29053375,6.359795035,1
-75.20720042,6.359795035,1
-75.12386709,6.359795035,1
-75.04053375,6.359795035,1
-74.95720042,6.359795035,1
-74.87386709,6.359795035,1
-74.79053375,6.359795035,1
-74.70720042,6.359795035,1
-76.54053375,6.276461702,1
-76.45720041,6.276461702,1
-76.37386708,6.276461702,1
-76.29053375,6.276461702,1
-76.20720041,6.276461702,1
-76.12386708,6.276461702,1
-76.04053375,6.276461702,1
-75.95720042,6.276461702,1
-75.87386708,6.276461702,1
-75.79053375,6.276461702,1
-75.70720042,6.276461702,1
-75.62386708,6.276461702,1
-75.54053375,6.276461702,1
-75.45720042,6.276461702,1
-75.37386708,6.276461702,1
-75.29053375,6.276461702,1
-75.20720042,6.276461702,1
-75.12386709,6.276461702,1
-75.04053375,6.276461702,1
-74.95720042,6.276461702,1
-74.87386709,6.276461702,1
-76.20720041,6.193128369,1
-76.12386708,6.193128369,1
-76.04053375,6.193128369,1
-75.95720042,6.193128369,1
-75.87386708,6.193128369,1
-75.79053375,6.193128369,1
-75.70720042,6.193128369,1
-75.62386708,6.193128369,1
-75.54053375,6.193128369,1
-75.45720042,6.193128369,1
-75.37386708,6.193128369,1
-75.29053375,6.193128369,1
-75.20720042,6.193128369,1
-75.12386709,6.193128369,1
-75.04053375,6.193128369,1
-74.95720042,6.193128369,1
-74.87386709,6.193128369,1
-76.20720041,6.109795036,1
-76.12386708,6.109795036,1
-76.04053375,6.109795036,1
-75.95720042,6.109795036,1
-75.87386708,6.109795036,1
-75.79053375,6.109795036,1
-75.70720042,6.109795036,1
-75.62386708,6.109795036,1
-75.54053375,6.109795036,1
-75.45720042,6.109795036,1
-75.37386708,6.109795036,1
-75.29053375,6.109795036,1
-75.20720042,6.109795036,1
-75.12386709,6.109795036,1
-75.04053375,6.109795036,1
-74.95720042,6.109795036,1
-74.87386709,6.109795036,1
-74.79053375,6.109795036,1
-76.04053375,6.026461703,1
-75.95720042,6.026461703,1
-75.87386708,6.026461703,1
-75.79053375,6.026461703,1
-75.70720042,6.026461703,1
-75.62386708,6.026461703,1
-75.54053375,6.026461703,1
-75.45720042,6.026461703,1
-75.37386708,6.026461703,1
-75.29053375,6.026461703,1
-75.20720042,6.026461703,1
-75.12386709,6.026461703,1
-75.04053375,6.026461703,1
-74.95720042,6.026461703,1
-74.87386709,6.026461703,1
-74.79053375,6.026461703,1
-75.95720042,5.94312837,1
-75.87386708,5.94312837,1
-75.79053375,5.94312837,1
-75.70720042,5.94312837,1
-75.62386708,5.94312837,1
-75.54053375,5.94312837,1
-75.45720042,5.94312837,1
-75.37386708,5.94312837,1
-75.29053375,5.94312837,1
-75.20720042,5.94312837,1
-75.12386709,5.94312837,1
-75.04053375,5.94312837,1
-74.95720042,5.94312837,1
-74.87386709,5.94312837,1
-75.95720042,5.859795037,1
-75.87386708,5.859795037,1
-75.79053375,5.859795037,1
-75.70720042,5.859795037,1
-75.62386708,5.859795037,1
-75.54053375,5.859795037,1
-75.45720042,5.859795037,1
-75.37386708,5.859795037,1
-75.29053375,5.859795037,1
-75.20720042,5.859795037,1
-75.12386709,5.859795037,1
-75.04053375,5.859795037,1
-74.95720042,5.859795037,1
-75.87386708,5.776461704,1
-75.79053375,5.776461704,1
-75.70720042,5.776461704,1
-75.62386708,5.776461704,1
-75.54053375,5.776461704,1
-75.45720042,5.776461704,1
-75.37386708,5.776461704,1
-75.29053375,5.776461704,1
-75.20720042,5.776461704,1
-75.12386709,5.776461704,1
-75.04053375,5.776461704,1
-74.95720042,5.776461704,1
-74.87386709,5.776461704,1
-75.87386708,5.693128371,1
-75.79053375,5.693128371,1
-75.70720042,5.693128371,1
-75.62386708,5.693128371,1
-75.54053375,5.693128371,1
-75.45720042,5.693128371,1
-75.37386708,5.693128371,1
-75.29053375,5.693128371,1
-75.20720042,5.693128371,1
-75.12386709,5.693128371,1
-75.04053375,5.693128371,1
-74.95720042,5.693128371,1
-74.87386709,5.693128371,1
-75.54053375,5.609795038,1
-75.45720042,5.609795038,1
-75.37386708,5.609795038,1
-75.29053375,5.609795038,1
-75.20720042,5.609795038,1
-75.12386709,5.609795038,1
-75.04053375,5.609795038,1
-74.95720042,5.609795038,1
-74.87386709,5.609795038,1
-75.54053375,5.526461705,1
-75.45720042,5.526461705,1
-75.37386708,5.526461705,1
-75.29053375,5.526461705,1
-75.20720042,5.526461705,1
-75.12386709,5.526461705,1
-75.04053375,5.526461705,1
-74.95720042,5.526461705,1
-74.87386709,5.526461705,1
-75.54053375,5.443128372,1
-75.45720042,5.443128372,1
-75.37386708,5.443128372,1
-75.29053375,5.443128372,1
-75.20720042,5.443128372,1
-75.12386709,5.443128372,1
-75.04053375,5.443128372,1
-74.95720042,5.443128372,1
-74.87386709,5.443128372,1
-75.54053375,5.359795039,1
-75.45720042,5.359795039,1
-75.37386708,5.359795039,1
-75.29053375,5.359795039,1
-75.20720042,5.359795039,1
-75.12386709,5.359795039,1
-75.04053375,5.359795039,1
-74.95720042,5.359795039,1
-75.62386708,5.276461706,1
-75.54053375,5.276461706,1
-75.45720042,5.276461706,1
-75.37386708,5.276461706,1
-75.29053375,5.276461706,1
-75.20720042,5.276461706,1
-75.12386709,5.276461706,1
-75.62386708,5.193128373,1
-75.54053375,5.193128373,1
-75.45720042,5.193128373,1
-75.37386708,5.193128373,1
-75.29053375,5.193128373,1
